DACP_Place_IDNumber,Total_populatio_e,NotHispanic_White_pop_e,Hispanic_or_Latino_population_e,Not_Hispanic_or_Latino_pop_e,DAC_Population,Percent_white_not_hispanic,Percent_latino,Pop_difference
629112,4401,2122,1874,2527,6380,48.21631447398318,42.58123153828675,-1979
629154,797,611,74,723,500,76.6624843161857,9.284818067754077,297
629252,785,727,30,755,76,92.61146496815287,3.821656050955414,709
629392,1630,627,682,948,1201,38.466257668711656,41.84049079754602,429
630028,726,712,14,712,614,98.07162534435263,1.9283746556473829,112
630339,809,731,23,786,22,90.3584672435105,2.843016069221261,787
630420,701,631,54,647,23,90.01426533523538,7.703281027104136,678
630714,598,585,0,598,0,97.82608695652173,0,598
630882,1231,329,902,329,888,26.726238830219334,73.27376116978067,343
630900,541,420,72,469,566,77.63401109057301,13.308687615526802,-25
631134,1952,1572,67,1885,183,80.5327868852459,3.432377049180328,1769
631162,1002,847,76,926,950,84.53093812375249,7.584830339321358,52
631246,785,727,30,755,421,92.61146496815287,3.821656050955414,364
631288,630,198,423,207,419,31.428571428571427,67.14285714285714,211
631890,2135,416,1703,432,1718,19.484777517564403,79.76580796252928,417
632030,888,591,115,773,1153,66.55405405405406,12.950450450450452,-265
632156,1112,732,342,770,184,65.82733812949641,30.755395683453234,928
632324,382,298,56,326,0,78.01047120418848,14.659685863874344,382
633084,2099,0,2099,0,4256,0,100,-2157
633504,997,693,265,732,479,69.5085255767302,26.57973921765296,518
633935,908,837,47,861,413,92.18061674008811,5.176211453744493,495
634281,1219,223,879,340,1787,18.293683347005743,72.10828547990155,-568
634405,420,376,5,415,20,89.52380952380953,1.1904761904761905,400
634652,976,703,185,791,587,72.02868852459017,18.954918032786885,389
634694,595,543,33,562,275,91.26050420168067,5.546218487394958,320
634708,637,503,93,544,56,78.96389324960754,14.599686028257459,581
634928,2529,1853,119,2410,3704,73.27006722024517,4.705417160933175,-1175
636084,2801,84,2717,84,6777,2.9989289539450197,97.00107104605497,-3976
636098,1356,1342,0,1356,255,98.96755162241888,0,1101
636168,560,375,18,542,32,66.96428571428571,3.214285714285714,528
636364,836,689,0,836,23,82.41626794258373,0,813
636420,2414,1994,240,2174,889,82.60149130074565,9.942004971002486,1525
636452,2033,1161,838,1195,910,57.10772257747172,41.219872110181996,1123
636882,1665,1165,423,1242,792,69.96996996996997,25.405405405405407,873
637022,330,163,111,219,77,49.3939393939394,33.63636363636363,253
637400,2047,557,980,1067,79,27.21055202735711,47.87493893502687,1968
637512,809,731,23,786,35,90.3584672435105,2.843016069221261,774
637596,1327,1200,47,1280,920,90.42954031650339,3.541823662396383,407
637918,420,376,5,415,80,89.52380952380953,1.1904761904761905,340
638024,1502,1277,37,1465,2594,85.01997336884153,2.463382157123835,-1092
638076,560,375,18,542,37,66.96428571428571,3.214285714285714,523
638394,1825,80,1730,95,1648,4.383561643835616,94.79452054794521,177
638646,753,420,58,695,98,55.77689243027888,7.702523240371846,655
638702,1288,786,108,1180,955,61.024844720496894,8.385093167701864,333
638800,2097,675,1416,681,1161,32.18884120171674,67.52503576537912,936
639472,881,605,84,797,35,68.67196367763904,9.534619750283769,846
639483,752,645,107,645,45,85.77127659574468,14.22872340425532,707
639514,969,801,29,940,493,82.6625386996904,2.9927760577915374,476
639556,3018,1974,947,2071,469,65.4075546719682,31.378396288933068,2549
639570,759,586,102,657,3093,77.2068511198946,13.438735177865613,-2334
639696,759,710,9,750,539,93.54413702239789,1.185770750988142,220
639836,4176,1349,2438,1738,1723,32.303639846743295,58.38122605363984,2453
640116,736,21,679,57,398,2.8532608695652173,92.25543478260869,338
640312,498,437,43,455,12,87.75100401606426,8.634538152610443,486
640536,1630,627,682,948,154,38.466257668711656,41.84049079754602,1476
640746,1770,236,1534,236,1144,13.333333333333334,86.66666666666667,626
640872,914,190,714,200,436,20.787746170678336,78.11816192560175,478
640928,1265,737,177,1088,1227,58.26086956521739,13.992094861660078,38
640998,500,428,61,439,234,85.6,12.2,266
641026,679,509,133,546,54,74.96318114874816,19.587628865979383,625
641040,1734,178,1528,206,1823,10.265282583621683,88.1199538638985,-89
641110,769,666,93,676,214,86.60598179453837,12.093628088426527,555
641166,3286,1660,601,2685,6913,50.5173463177115,18.289713937918442,-3627
641194,1479,487,420,1059,3153,32.92765382014875,28.397565922920894,-1674
641278,1420,1301,33,1387,1480,91.61971830985915,2.323943661971831,-60
641390,664,469,137,527,31,70.63253012048193,20.632530120481928,633
641656,706,263,410,296,520,37.25212464589235,58.07365439093485,186
641740,840,22,802,38,561,2.619047619047619,95.47619047619048,279
641789,498,437,43,455,0,87.75100401606426,8.634538152610443,498
641866,1799,1496,136,1663,38,83.15730961645359,7.5597554196775985,1761
642328,1098,787,144,954,661,71.67577413479053,13.114754098360656,437
642566,2084,138,1933,151,2080,6.621880998080615,92.75431861804223,4
642580,892,594,126,766,2017,66.59192825112108,14.125560538116591,-1125
642622,444,350,47,397,291,78.82882882882883,10.585585585585585,153
643126,696,620,38,658,67,89.08045977011494,5.459770114942529,629
644140,1487,907,559,928,2184,60.99529253530599,37.59246805648957,-697
644280,1886,188,1679,207,2194,9.968186638388122,89.02439024390245,-308
644364,687,534,148,539,874,77.72925764192141,21.542940320232898,-187
644406,1947,1084,409,1538,3318,55.6753980482794,21.00667693888033,-1371
644672,832,554,240,592,52,66.58653846153845,28.846153846153843,780
644700,1476,1129,311,1165,308,76.49051490514906,21.070460704607047,1168
644760,1093,713,118,975,1103,65.23330283623055,10.79597438243367,-10
644770,560,375,18,542,6,66.96428571428571,3.214285714285714,554
644784,1366,1165,125,1241,1111,85.28550512445095,9.150805270863836,255
644812,1814,960,691,1123,111,52.921719955898574,38.09261300992282,1703
644924,943,804,110,833,112,85.25980911983034,11.664899257688228,831
645232,2012,468,1487,525,935,23.26043737574553,73.9065606361829,1077
645386,645,407,177,468,193,63.100775193798455,27.44186046511628,452
645414,1285,1046,59,1226,673,81.40077821011673,4.591439688715954,612
645512,998,792,74,924,341,79.35871743486975,7.414829659318638,657
645736,1397,932,282,1115,1158,66.71438797423049,20.186113099498925,239
645820,1362,365,470,892,2958,26.798825256975036,34.50807635829663,-1596
645932,1096,711,165,931,1524,64.87226277372264,15.054744525547445,-428
646100,1921,1563,313,1608,94,81.36387298282145,16.29359708485164,1827
646223,2088,518,1346,742,1098,24.808429118773947,64.46360153256705,990
646338,815,542,273,542,1076,66.50306748466258,33.49693251533743,-261
646520,3576,546,2762,814,3447,15.268456375838927,77.23713646532438,129
646660,2440,2,2438,2,8912,0.08196721311475409,99.91803278688525,-6472
647066,1632,586,929,703,1004,35.90686274509804,56.924019607843135,628
647164,2601,219,2041,560,88,8.419838523644751,78.46981930026912,2513
647192,1401,268,1078,323,216,19.129193433261957,76.94503925767309,1185
647332,789,551,216,573,1073,69.83523447401775,27.376425855513308,-284
647374,864,706,83,781,689,81.71296296296296,9.606481481481481,175
648592,669,192,439,230,184,28.699551569506728,65.6203288490284,485
648602,500,428,61,439,67,85.6,12.2,433
648641,1281,1011,219,1062,1979,78.92271662763466,17.096018735362996,-698
648676,576,132,326,250,191,22.916666666666664,56.59722222222222,385
648928,628,526,52,576,1031,83.7579617834395,8.280254777070063,-403
649488,1706,331,1316,390,200,19.402110199296597,77.13950762016412,1506
649544,1353,1018,300,1053,75,75.24020694752403,22.172949002217297,1278
649558,961,862,99,862,1153,89.69823100936524,10.301768990634756,-192
649600,1687,1514,124,1563,454,89.74510966212212,7.350326022525193,1233
649768,1814,960,691,1123,88,52.921719955898574,38.09261300992282,1726
649796,993,758,235,758,1027,76.33434038267876,23.66565961732125,-34
649810,325,251,29,296,12,77.23076923076924,8.923076923076923,313
650034,1246,946,240,1006,1884,75.92295345104334,19.26163723916533,-638
650146,1272,1199,0,1272,57,94.26100628930818,0,1215
651028,1030,476,519,511,591,46.213592233009706,50.3883495145631,439
651042,808,578,212,596,429,71.53465346534654,26.237623762376238,379
651168,1092,812,192,900,84,74.35897435897436,17.582417582417584,1008
651392,1211,303,861,350,1063,25.0206440957886,71.09826589595376,148
651574,1011,602,329,682,239,59.545004945598414,32.54203758654797,772
651812,837,655,120,717,966,78.25567502986857,14.336917562724013,-129
