GEOID,Total_population_e,NotHispanic_White_pop_e,Hispanic_or_Latino_population_e,Not_Hispanic_or_Latino_pop_e,OBJECTID
15000US060014076003,694,64,390,304,236
15000US060014076004,1833,35,404,1429,237
15000US060014076005,797,64,323,474,238
15000US060014077001,1452,366,142,1310,239
15000US060014077002,1105,274,154,951,240
15000US060014077003,861,321,191,670,241
15000US060014077004,905,288,61,844,242
15000US060014078001,922,327,214,708,243
15000US060014078002,1049,284,168,881,244
15000US060014078003,748,169,66,682,245
15000US060014079001,684,418,31,653,246
15000US060014079002,1234,412,149,1085,247
15000US060014079003,1159,421,199,960,248
15000US060014080001,738,478,44,694,249
15000US060014080002,2001,821,276,1725,250
15000US060014081001,1260,988,85,1175,251
15000US060014081002,3150,870,448,2702,252
15000US060014081003,1151,386,52,1099,253
15000US060014081004,705,69,115,590,254
15000US060014082001,1398,542,216,1182,255
15000US060014082002,1892,160,307,1585,256
15000US060014082003,872,82,150,722,257
15000US060014083001,530,243,176,354,258
15000US060014083002,1110,334,257,853,259
15000US060014083003,941,316,57,884,260
15000US060014083004,1760,146,443,1317,261
15000US060014083005,598,135,100,498,262
15000US060014084001,1449,108,968,481,263
15000US060014084002,874,0,335,539,264
15000US060014084003,806,220,117,689,265
15000US060014085001,1022,8,622,400,266
15000US060014085002,1245,15,884,361,267
15000US060014085003,1140,10,584,556,268
15000US060014085004,793,41,372,421,269
15000US060014085005,1547,29,1042,505,270
15000US060014086001,1882,83,833,1049,271
15000US060014086002,1649,79,692,957,272
15000US060014086003,1826,50,1432,394,273
15000US060014086004,935,18,560,375,274
15000US060014087001,1125,127,523,602,275
15000US060014087002,1558,0,576,982,276
15000US060014087003,1279,1,688,591,277
15000US060014087004,1051,85,414,637,278
15000US060014087005,1344,158,620,724,279
15000US060014087006,1401,17,1034,367,280
15000US060014088001,1783,56,1347,436,281
15000US060014088002,1146,156,324,822,282
15000US060014088003,1219,0,305,914,283
15000US060014088004,2200,17,1485,715,284
15000US060014089001,1379,56,856,523,285
15000US060014089002,1726,52,1023,703,286
15000US060014090001,1929,52,1071,858,287
15000US060014090002,0,0,0,0,288
15000US060014090003,1823,82,926,897,289
15000US060014090004,0,0,0,0,290
15000US060014091001,1262,29,616,646,291
15000US060014091002,1152,12,354,798,292
15000US060014092001,2051,105,850,1201,293
15000US060014092002,1532,36,854,678,294
15000US060014093001,1679,77,930,749,295
15000US060014093002,1304,191,707,597,296
15000US060014093003,923,13,531,392,297
15000US060014093004,1080,31,826,254,298
15000US060014094001,874,73,592,282,299
15000US060014094002,2607,93,1334,1273,300
15000US060014094003,1407,91,934,473,301
